FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,COUNTY_NAME,LAT,LONG,ELEVATION
204733,Oxford,Populated Place,La Plata,37.1688923,-107.7142277,2012
204734,Allison,Populated Place,La Plata,37.0244493,-107.4881059,1895
204736,Brighton,Populated Place,Adams,39.9852617,-104.8205283,1519
204737,Aurora,Populated Place,Adams,39.7294319,-104.8319195,1648
204738,Bennett,Populated Place,Adams,39.7588736,-104.427461,1672
204739,Byers,Populated Place,Arapahoe,39.7113708,-104.2277358,1586
204740,Sedalia,Populated Place,Douglas,39.4369336,-104.9597046,1780
204741,Franktown,Populated Place,Douglas,39.3913788,-104.752753,1878
204742,Redvale,Populated Place,Montrose,38.1749906,-108.4173088,1976
204743,Placerville,Populated Place,San Miguel,38.0166587,-108.0534031,2230
204744,Bowie,Populated Place,Delta,38.9213767,-107.5400563,1818
204746,Olathe,Populated Place,Montrose,38.6049854,-107.9822884,1633
204747,Telluride,Populated Place,San Miguel,37.9374939,-107.8122852,2680
204748,Sunshine Peak,Summit,Hinsdale,37.9227749,-107.4256129,4271
204750,Silverton,Populated Place,San Juan,37.811941,-107.6645057,2837
204751,Colona,Populated Place,Ouray,38.3249881,-107.7797816,1946
204752,Powderhorn,Populated Place,Gunnison,38.2769386,-107.0958841,2468
